id,ref,title,url,open_date,type,category,department,business_unit,industry,function,city,country,x,y
17720254,JREQ165339,Sector Specialist,https://jobs.thomsonreuters.com/job/17720254/sector-specialist-bengaluru-in/,2023-02-01T01:04:26.783Z,Full_time,News & Editorial,Reuters - ALL,Reuters Editorial,Television Broadcasting,Editor,Bengaluru,IN,77.5946,12.9716
17717058,JREQ165853,"Senior Sales Executive, SLF (Phoenix, AZ)",https://jobs.thomsonreuters.com/job/17717058/senior-sales-executive-slf-phoenix-az-phoenix-az/,2023-01-31T17:04:23.983Z,Full_time,Sales,Legal Professionals-ALL,Legal Small Law-ALL,Television Broadcasting,Sales General,Phoenix,US,-112.068,33.4507
17716603,JREQ165796,Rédacteur juridique,https://jobs.thomsonreuters.com/job/17716603/r-dacteur-juridique-montreal-ca/,2023-01-31T16:03:39.733Z,Full_time,Publishing / Editorial,Product-ALL,Product - Research,Television Broadcasting,Publishing General,Montreal,CA,-73.5673,45.5017
17716602,JREQ165408,"Senior Associate Editor, Data Privacy & Cybersecurity",https://jobs.thomsonreuters.com/job/17716602/senior-associate-editor-data-privacy-cybersecurity-remote/,2023-01-31T16:03:39.723Z,Full_time,Publishing / Editorial,Product-ALL,Product - Research,Television Broadcasting,Publishing General,Washington,US,-77.019,38.9121
17716139,JREQ166012,#3 Operator in Press - 2nd shift,https://jobs.thomsonreuters.com/job/17716139/-3-operator-in-press-2nd-shift-eagan-mn/,2023-01-31T15:04:58.41Z,Full_time,Production & Materials Management,Global Print-ALL,Global Print Prop Strategy & Ops,Television Broadcasting,Production General,Eagan,US,-93.1669,44.8041
17715623,JREQ165898,Senior Principal Consultant,https://jobs.thomsonreuters.com/job/17715623/senior-principal-consultant-remote/,2023-01-31T14:03:32.633Z,Full_time,Professional & Consulting Services,Corporates-ALL,Corporates Professional Services,Television Broadcasting,Consulting,Carrollton,US,-96.8921,32.9614
17714716,JREQ162740,"Director, Business Architecture",https://jobs.thomsonreuters.com/job/17714716/director-business-architecture-toronto-ca/,2023-01-31T12:04:27.143Z,Full_time,Business Operations,Operations & Technology-ALL,Operations & Technology Segment,Television Broadcasting,Operations General,Toronto,CA,-79.3832,43.6532
17713595,JREQ165883,"Tax Analyst, Sales & Use (hybrid)",https://jobs.thomsonreuters.com/job/17713595/tax-analyst-sales-use-hybrid-carrollton-tx/,2023-01-31T10:03:55.95Z,Full_time,Publishing / Editorial,Product-ALL,Product - Content,Television Broadcasting,Publishing General,Carrollton,US,-96.8921,32.9614
17713343,JREQ165997,Tax Support Representatives Bilingual French and English,https://jobs.thomsonreuters.com/job/17713343/tax-support-representatives-bilingual-french-and-english-manila-ph/,2023-01-31T09:04:35.983Z,Full_time,Customer Service & Support,Operations & Technology-ALL,Operations & Technology Segment,Television Broadcasting,Customer Service,Manila,PH,121,14.6635
17713342,JREQ165465,Senior Customer Security Analyst (BLR),https://jobs.thomsonreuters.com/job/17713342/senior-customer-security-analyst-blr-bengaluru-in/,2023-01-31T09:04:35.977Z,Full_time,Customer Service & Support,Operations & Technology-ALL,Technology - CIO-ALL,Television Broadcasting,Customer Service,Bengaluru,IN,77.5946,12.9716
17713203,JREQ164725,"Sr. Director, Release Mgmt, Support",https://jobs.thomsonreuters.com/job/17713203/sr-director-release-mgmt-support-hyderabad-in/,2023-01-31T08:03:27.143Z,Full_time,Technology Development,Operations & Technology-ALL,Technology - CIO-ALL,Television Broadcasting,Computers General,Hyderabad,IN,78.4867,17.385
17712799,JREQ165536,"Senior Producer, West Africa",https://jobs.thomsonreuters.com/job/17712799/senior-producer-west-africa-dakar-sn/,2023-01-31T05:04:37.01Z,Full_time,News & Editorial,Reuters - ALL,Reuters Editorial,Television Broadcasting,Editor,Dakar,SN,-17.4581,14.6951
17567438,JREQ165232,Mobile Product Manager,https://jobs.thomsonreuters.com/job/17567438/mobile-product-manager-new-york-ny/,2023-01-31T05:04:35.383Z,Full_time,Product Management,Reuters - ALL,Reuters Media,Television Broadcasting,Product Manager,New York,US,-74.0059,40.7128
17567439,JREQ165240,Mobile Product Manager,https://jobs.thomsonreuters.com/job/17567439/mobile-product-manager-toronto-ca/,2023-01-31T05:04:35.383Z,Full_time,Product Management,Reuters - ALL,Reuters Media,Television Broadcasting,Product Manager,Toronto,CA,-79.3832,43.6532
17566951,JREQ164966,"Mobile Product Manager, Reuters",https://jobs.thomsonreuters.com/job/17566951/mobile-product-manager-reuters-london-gb/,2023-01-31T05:04:35.383Z,Full_time,Product Management,Reuters - ALL,Reuters Media,Television Broadcasting,Product Manager,London,GB,-0.127758,51.5074
17712410,JREQ164945,SAP Support Analyst -FICO & S/4 HANA,https://jobs.thomsonreuters.com/job/17712410/sap-support-analyst-fico-s-4-hana-hyderabad-in/,2023-01-31T02:04:10.99Z,Full_time,Technology Development,Operations & Technology-ALL,Technology - CIO-ALL,Television Broadcasting,Computers General,Hyderabad,IN,78.4867,17.385
17712409,JREQ164916,Senior SAP Engineer - FICO & S/4 HANA Implementation,https://jobs.thomsonreuters.com/job/17712409/senior-sap-engineer-fico-s-4-hana-implementation-hyderabad-in/,2023-01-31T02:04:10.983Z,Full_time,Technology Development,Operations & Technology-ALL,Technology - CIO-ALL,Television Broadcasting,Computers General,Hyderabad,IN,78.4867,17.385
17685920,JREQ165760,User Acceptance Testing Manager,https://jobs.thomsonreuters.com/job/17685920/user-acceptance-testing-manager-eagan-mn/,2023-01-30T21:03:56.41Z,Full_time,Business Operations,Enabling Functions-ALL,Commercial Excellence-ALL,Television Broadcasting,Operations General,Eagan,US,-93.1669,44.8041
17707490,JREQ165846,Brazil Energy Correspondent,https://jobs.thomsonreuters.com/job/17707490/brazil-energy-correspondent-rio-de-janeiro-br/,2023-01-30T14:03:29.693Z,Full_time,News & Editorial,Reuters - ALL,Reuters Editorial,Television Broadcasting,Editor,Rio de Janeiro,BR,-43.1729,-22.9068
17706089,JREQ165979,"Sales Executive- Core, Small Law",https://jobs.thomsonreuters.com/job/17706089/sales-executive-core-small-law-eagan-mn/,2023-01-30T12:04:08.053Z,Full_time,Sales,Legal Professionals-ALL,Legal Small Law-ALL,Television Broadcasting,Sales General,Eagan,US,-93.1669,44.8041
17706088,JREQ165865,"Breaking News Market Specialist, France & Benelux",https://jobs.thomsonreuters.com/job/17706088/breaking-news-market-specialist-france-benelux-paris-fr/,2023-01-30T12:04:08.047Z,Full_time,News & Editorial,Reuters - ALL,Reuters Editorial,Television Broadcasting,Editor,Paris,FR,2.3488,48.8534
16584208,JREQ162081,Proposal Coordinator,https://jobs.thomsonreuters.com/job/16584208/proposal-coordinator-mclean-va/,2023-01-30T12:04:05.807Z,Full_time,Procurement,Government-ALL,Government TRSS,Television Broadcasting,Operations-Procurement General,McLean,US,-77.2351,38.9528
17705754,JREQ165944,"Sales Executive,  Corporates - Direct Tax",https://jobs.thomsonreuters.com/job/17705754/sales-executive-corporates-direct-tax-london-gb/,2023-01-30T11:04:09.737Z,Full_time,Sales,Corporates-ALL,Corporates Europe,Television Broadcasting,Sales General,London,GB,-0.127758,51.5074
17705377,JREQ165813,"Content Lead, Sales & Use Tax (hybrid)",https://jobs.thomsonreuters.com/job/17705377/content-lead-sales-use-tax-hybrid-carrollton-tx/,2023-01-30T10:03:23.437Z,Full_time,Publishing / Editorial,Product-ALL,Product - Content,Television Broadcasting,Publishing General,Carrollton,US,-96.8921,32.9614
17705376,JREQ165810,"Senior Tax Analyst, Sales & Use (remote)",https://jobs.thomsonreuters.com/job/17705376/senior-tax-analyst-sales-use-remote-remote/,2023-01-30T10:03:23.43Z,Full_time,Publishing / Editorial,Product-ALL,Product - Content,Television Broadcasting,Publishing General,Carrollton,US,-96.8921,32.9614
