id,title,url,open_date,type,city,country,x,y
JREQ170346,Sr. Tax Executive,https://careers.thomsonreuters.com/us/en/job/JREQ170346,2024-01-18T00:00:00.000+0000,Full time,Mumbai,India,72.8814089,19.1114368
JREQ174174,Desk Editor,https://careers.thomsonreuters.com/us/en/job/JREQ174174,2024-01-17T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174190,Sector Specialist - Manufacturing,https://careers.thomsonreuters.com/us/en/job/JREQ174190,2024-01-17T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174127,Multimedia News Producer,https://careers.thomsonreuters.com/us/en/job/JREQ174127,2024-01-17T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174175,Desk Editor,https://careers.thomsonreuters.com/us/en/job/JREQ174175,2024-01-17T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174192,"Editor in Charge, Commodities & Energy",https://careers.thomsonreuters.com/us/en/job/JREQ174192,2024-01-17T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174179,Sports Correspondent,https://careers.thomsonreuters.com/us/en/job/JREQ174179,2024-01-17T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ175458,Publishing Specialist,https://careers.thomsonreuters.com/us/en/job/JREQ175458,2024-01-17T00:00:00.000+0000,Full time,Buenos Aires,Argentina,-58.3875561,-34.6016107
JREQ174196,"Senior Correspondent, Markets",https://careers.thomsonreuters.com/us/en/job/JREQ174196,2024-01-17T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ175418,Publishing Editorial Manager II,https://careers.thomsonreuters.com/us/en/job/JREQ175418,2024-01-17T00:00:00.000+0000,Full time,Manila,Philippines,121.0520086,14.5344436
JREQ166696,Video Desk Producer,https://careers.thomsonreuters.com/us/en/job/JREQ166696,2024-01-16T00:00:00.000+0000,Full time,Singapore,Singapore,103.792796,1.2938815
JREQ174423,Cameraperson (Level 1 Journalist - Temp),https://careers.thomsonreuters.com/us/en/job/JREQ174423,2024-01-16T00:00:00.000+0000,Full time,San Francisco,United States of America,-122.3973037,37.7940487
JREQ175480,Autos Correspondent (Level 1 Journalist),https://careers.thomsonreuters.com/us/en/job/JREQ175480,2024-01-16T00:00:00.000+0000,Full time,Ann Arbor,United States of America,-83.7267835,42.1957259
JREQ166777,Multimedia News Producer,https://careers.thomsonreuters.com/us/en/job/JREQ166777,2024-01-16T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ175396,Attorney Editor,https://careers.thomsonreuters.com/us/en/job/JREQ175396,2024-01-16T00:00:00.000+0000,Full time,Manila,Philippines,121.0520086,14.5344436
JREQ173710,"Senior Specialist Legal Editor, Practical Law (MENA) - Employment",https://careers.thomsonreuters.com/us/en/job/JREQ173710,2024-01-15T00:00:00.000+0000,Full time,,United Arab Emirates,55.1575893,25.0961362
JREQ165639,Multimedia News Producer - Global Online Desk,https://careers.thomsonreuters.com/us/en/job/JREQ165639,2024-01-15T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174985,Editorial Associate,https://careers.thomsonreuters.com/us/en/job/JREQ174985,2024-01-15T00:00:00.000+0000,Full time,London,United Kingdom,-0.0185088,51.5056439
JREQ175090,Tax Writer,https://careers.thomsonreuters.com/us/en/job/JREQ175090,2024-01-15T00:00:00.000+0000,Full time,Pyrmont,Australia,151.1915144,-33.8664432
JREQ166511,Multimedia News Producer,https://careers.thomsonreuters.com/us/en/job/JREQ166511,2024-01-15T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ175422,Attorney Editor,https://careers.thomsonreuters.com/us/en/job/JREQ175422,2024-01-12T00:00:00.000+0000,Full time,Minneapolis,United States of America,-93.11319449999999,44.8253064
JREQ174197,"Senior Correspondent, Broker Research",https://careers.thomsonreuters.com/us/en/job/JREQ174197,2024-01-11T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
