id,title,url,open_date,type,city,country,x,y
JREQ189648,Senior Legal Editorial Manager,https://careers.thomsonreuters.com/us/en/job/JREQ189648,2025-06-03T00:00:00.000+0000,Full time,Aichi,Japan,136.8966607,35.1636282
JREQ187358,GIS Analyst,https://careers.thomsonreuters.com/us/en/job/JREQ187358,2025-06-03T00:00:00.000+0000,Full time,Gdansk,Poland,18.5757343,54.400578
JREQ191712,"Correspondent, The Insurer - Reuters",https://careers.thomsonreuters.com/us/en/job/JREQ191712,2025-06-03T00:00:00.000+0000,Full time,London,United Kingdom,-0.0185088,51.5056439
JREQ189025,Tax Associate,https://careers.thomsonreuters.com/us/en/job/JREQ189025,2025-06-03T00:00:00.000+0000,Full time,Gdansk,Poland,18.5757343,54.400578
JREQ191713,"Desk Editor, The Insurer - Reuters",https://careers.thomsonreuters.com/us/en/job/JREQ191713,2025-06-03T00:00:00.000+0000,Full time,London,United Kingdom,-0.0185088,51.5056439
JREQ190924,"Senior Specialist Legal Editor, Practical Law Japan",https://careers.thomsonreuters.com/us/en/job/JREQ190924,2025-06-02T00:00:00.000+0000,Full time,Tokyo,Japan,139.7488929,35.6621409
JREQ191137,Legal Editor,https://careers.thomsonreuters.com/us/en/job/JREQ191137,2025-06-02T00:00:00.000+0000,Full time,Pyrmont,Australia,151.1915764,-33.8664391
JREQ191512,"Editor, Current Awareness",https://careers.thomsonreuters.com/us/en/job/JREQ191512,2025-06-02T00:00:00.000+0000,Full time,Manila,Philippines,121.0497015,14.5348768
JREQ191563,EMEA Production Assistant,https://careers.thomsonreuters.com/us/en/job/JREQ191563,2025-06-02T00:00:00.000+0000,Full time,Bengaluru,India,77.708722,12.9776035
JREQ191872,Legal Publisher,https://careers.thomsonreuters.com/us/en/job/JREQ191872,2025-06-02T00:00:00.000+0000,Full time,Toronto,Canada,-79.3884094,43.6480117
JREQ191853,Senior Associate Editor,https://careers.thomsonreuters.com/us/en/job/JREQ191853,2025-06-02T00:00:00.000+0000,Full time,Eagan,United States of America,-93.10793129999999,44.8524402
JREQ188759,Lawyer Editor,https://careers.thomsonreuters.com/us/en/job/JREQ188759,2025-06-02T00:00:00.000+0000,Full time,Pyrmont,Australia,151.1915764,-33.8664391
JREQ191836,Technology Correspondent (Level 1 Journalist),https://careers.thomsonreuters.com/us/en/job/JREQ191836,2025-05-30T00:00:00.000+0000,Full time,San Francisco,United States of America,-122.3973037,37.7940487
JREQ189247,Manager - Global Trade Content,https://careers.thomsonreuters.com/us/en/job/JREQ189247,2025-05-29T00:00:00.000+0000,Full time,Manila,Philippines,121.0497015,14.5348768
JREQ190580,Attorney Editor,https://careers.thomsonreuters.com/us/en/job/JREQ190580,2025-05-29T00:00:00.000+0000,Full time,Eagan,United States of America,-93.10793129999999,44.8524402
JREQ191716,Senior Associate Editor,https://careers.thomsonreuters.com/us/en/job/JREQ191716,2025-05-29T00:00:00.000+0000,Full time,Washington,United States of America,-77.0311952,38.9004793
JREQ191680,Administrative Assistant,https://careers.thomsonreuters.com/us/en/job/JREQ191680,2025-05-28T00:00:00.000+0000,Full time,Hong Kong,Hong Kong,114.2169064,22.2876586
JREQ191090,Asia Writer,https://careers.thomsonreuters.com/us/en/job/JREQ191090,2025-05-27T00:00:00.000+0000,Full time,Mumbai,India,72.8651798,19.0581602
JREQ191385,Attorney Editor,https://careers.thomsonreuters.com/us/en/job/JREQ191385,2025-05-26T00:00:00.000+0000,Full time,Manila,Philippines,121.0497015,14.5348768
JREQ189266,Regulatory Associate,https://careers.thomsonreuters.com/us/en/job/JREQ189266,2025-05-23T00:00:00.000+0000,Full time,Gothenburg,Sweden,11.962773,57.7053919
JREQ191515,CPA Editor,https://careers.thomsonreuters.com/us/en/job/JREQ191515,2025-05-22T00:00:00.000+0000,Full time,Manila,Philippines,121.0497015,14.5348768
JREQ191612,China Metals Correspondent,https://careers.thomsonreuters.com/us/en/job/JREQ191612,2025-05-22T00:00:00.000+0000,Full time,Beijing,China,116.41197,39.90927
JREQ191496,Photojournalist - Reuters,https://careers.thomsonreuters.com/us/en/job/JREQ191496,2025-05-22T00:00:00.000+0000,Full time,Moscow,Russian Federation,37.6175753,55.7618924
JREQ188833,"Associate Editor, Global Pictures Desk",https://careers.thomsonreuters.com/us/en/job/JREQ188833,2025-05-21T00:00:00.000+0000,Full time,Bengaluru,India,77.708722,12.9776035
