id,title,url,open_date,type,city,country,x,y
JREQ173338,"News Reporter, Reuters (French Speaking)",https://careers.thomsonreuters.com/us/en/job/JREQ173338,2023-11-06T00:00:00.000+0000,Full time,Gdansk,Poland,18.5752702,54.4004235
JREQ173710,"Senior Specialist Legal Editor, Practical Law (MENA).",https://careers.thomsonreuters.com/us/en/job/JREQ173710,2023-11-03T00:00:00.000+0000,Full time,,United Arab Emirates,55.1575893,25.0961362
JREQ173391,Photographer,https://careers.thomsonreuters.com/us/en/job/JREQ173391,2023-11-03T00:00:00.000+0000,Full time,Paris,France,2.3362407,48.869761
JREQ173344,"Senior Specialist Legal Editor, Practical Law (MENA).",https://careers.thomsonreuters.com/us/en/job/JREQ173344,2023-11-01T00:00:00.000+0000,Full time,,United Arab Emirates,55.1575893,25.0961362
JREQ173328,"News Translator with Italian, Reuters",https://careers.thomsonreuters.com/us/en/job/JREQ173328,2023-10-30T00:00:00.000+0000,Full time,Gdansk,Poland,18.5752702,54.4004235
JREQ173339,News Reporter/Translator with Spanish,https://careers.thomsonreuters.com/us/en/job/JREQ173339,2023-10-30T00:00:00.000+0000,Full time,Gdansk,Poland,18.5752702,54.4004235
JREQ172677,Publication Assistant,https://careers.thomsonreuters.com/us/en/job/JREQ172677,2023-10-30T00:00:00.000+0000,Full time,Hong Kong,Hong Kong,114.2168499,22.2876498
JREQ173324,Attorney Editor,https://careers.thomsonreuters.com/us/en/job/JREQ173324,2023-10-29T00:00:00.000+0000,Full time,Manila,Philippines,121.0520086,14.5344436
JREQ173154,"Headline News Reporter, Middle East",https://careers.thomsonreuters.com/us/en/job/JREQ173154,2023-10-26T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ172602,Content Marketer,https://careers.thomsonreuters.com/us/en/job/JREQ172602,2023-10-25T00:00:00.000+0000,Full time,Manila,Philippines,121.0520086,14.5344436
JREQ173314,Content Marketer,https://careers.thomsonreuters.com/us/en/job/JREQ173314,2023-10-25T00:00:00.000+0000,Full time,Manila,Philippines,121.0520086,14.5344436
JREQ173321,US Tax Analyst,https://careers.thomsonreuters.com/us/en/job/JREQ173321,2023-10-25T00:00:00.000+0000,Full time,Mexico City,Mexico,-99.1510899,19.4343664
JREQ172976,Principal Editor,https://careers.thomsonreuters.com/us/en/job/JREQ172976,2023-10-20T00:00:00.000+0000,Full time,Hong Kong,Hong Kong,114.2168499,22.2876498
JREQ171454,Process Associate,https://careers.thomsonreuters.com/us/en/job/JREQ171454,2023-10-18T00:00:00.000+0000,Full time,Mumbai,India,72.8814089,19.1114368
JREQ173226,"News Reporter with Danish, Norwegian, Swedish, or Finnish",https://careers.thomsonreuters.com/us/en/job/JREQ173226,2023-10-18T00:00:00.000+0000,Full time,Gdansk,Poland,18.5752702,54.4004235
JREQ166124,"Sr. Tax Analyst, Indirect Tax (Energy or Telecom) (hybrid)",https://careers.thomsonreuters.com/us/en/job/JREQ166124,2023-10-17T00:00:00.000+0000,Full time,Carrollton,United States of America,-96.8449828,32.97533
JREQ172872,Analista de Operações Editoriais Júnior,https://careers.thomsonreuters.com/us/en/job/JREQ172872,2023-10-13T00:00:00.000+0000,Full time,Campinas,Brazil,-47.0464052,-22.8960684
JREQ172883,"Tax/Legal Analyst, Indirect Tax",https://careers.thomsonreuters.com/us/en/job/JREQ172883,2023-10-11T00:00:00.000+0000,Full time,Carrollton,United States of America,-96.8449828,32.97533
JREQ172868,Content Marketer,https://careers.thomsonreuters.com/us/en/job/JREQ172868,2023-10-10T00:00:00.000+0000,Full time,Manila,Philippines,121.0520086,14.5344436
JREQ164911,"Ukraine Breaking News Correspondent, Reuters",https://careers.thomsonreuters.com/us/en/job/JREQ164911,2023-10-10T00:00:00.000+0000,Full time,Gdansk,Poland,18.5752702,54.4004235
JREQ172896,"Graduate News Reporter with German, Reuters",https://careers.thomsonreuters.com/us/en/job/JREQ172896,2023-10-04T00:00:00.000+0000,Full time,Gdansk,Poland,18.5752702,54.4004235
JREQ171852,Publishing Analyst,https://careers.thomsonreuters.com/us/en/job/JREQ171852,2023-10-04T00:00:00.000+0000,Full time,Pyrmont,Australia,151.1915144,-33.8664432
JREQ171930,Legal Editor,https://careers.thomsonreuters.com/us/en/job/JREQ171930,2023-10-03T00:00:00.000+0000,Full time,Pyrmont,Australia,151.1915144,-33.8664432
JREQ172821,"Graduate News Reporter with French, Reuters",https://careers.thomsonreuters.com/us/en/job/JREQ172821,2023-10-02T00:00:00.000+0000,Full time,Gdansk,Poland,18.5752702,54.4004235
JREQ172643,Desk Editor,https://careers.thomsonreuters.com/us/en/job/JREQ172643,2023-09-29T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ165639,Multimedia News Producer - Global Online Desk,https://careers.thomsonreuters.com/us/en/job/JREQ165639,2023-09-29T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ166696,Junior Video Desk Producer,https://careers.thomsonreuters.com/us/en/job/JREQ166696,2023-09-25T00:00:00.000+0000,Full time,Singapore,Singapore,103.792796,1.2938815
JREQ167719,"Senior Specialist Legal Editor, Practical Law Public Sector",https://careers.thomsonreuters.com/us/en/job/JREQ167719,2023-09-25T00:00:00.000+0000,Full time,London,United Kingdom,-0.0185088,51.5056439
JREQ172435,Analista de Conteúdo Editoriais Júnior,https://careers.thomsonreuters.com/us/en/job/JREQ172435,2023-09-20T00:00:00.000+0000,Full time,São Paulo,Brazil,-46.6835209,-23.5990338
