id,title,url,open_date,type,city,country,x,y
JREQ188394,Attorney Editor,https://careers.thomsonreuters.com/us/en/job/JREQ188394,2025-02-24T00:00:00.000+0000,Full time,Manila,Philippines,121.0520086,14.5344436
JREQ186959,Legal Writer,https://careers.thomsonreuters.com/us/en/job/JREQ186959,2025-02-21T00:00:00.000+0000,Full time,New York,United States of America,-73.9866995,40.7566955
JREQ188166,Attorney Editor,https://careers.thomsonreuters.com/us/en/job/JREQ188166,2025-02-21T00:00:00.000+0000,Full time,Manila,Philippines,121.0520086,14.5344436
JREQ188205,Senior Gulf Investment Correspondent - Reuters,https://careers.thomsonreuters.com/us/en/job/JREQ188205,2025-02-21T00:00:00.000+0000,Full time,,United Arab Emirates,55.1575893,25.0961362
JREQ183018,Legal AI Prompter / Evaluator,https://careers.thomsonreuters.com/us/en/job/JREQ183018,2025-02-21T00:00:00.000+0000,Full time,New York,United States of America,-73.9866995,40.7566955
JREQ185459,"Sr Specialist Legal Editor, Practical Law Public Sector FTC",https://careers.thomsonreuters.com/us/en/job/JREQ185459,2025-02-20T00:00:00.000+0000,Full time,London,United Kingdom,-0.0185088,51.5056439
JREQ188283,Attorney Editor,https://careers.thomsonreuters.com/us/en/job/JREQ188283,2025-02-20T00:00:00.000+0000,Full time,Manila,Philippines,121.0520086,14.5344436
JREQ184991,Technical Writer,https://careers.thomsonreuters.com/us/en/job/JREQ184991,2025-02-20T00:00:00.000+0000,Full time,Willingham,United Kingdom,0.0534968,52.311855
JREQ188193,Commissioning Editor,https://careers.thomsonreuters.com/us/en/job/JREQ188193,2025-02-19T00:00:00.000+0000,Full time,,"Korea, Republic of",127.766922,35.907757
JREQ187813,Analyst - Global Trade Content,https://careers.thomsonreuters.com/us/en/job/JREQ187813,2025-02-19T00:00:00.000+0000,Full time,Mexico City,Mexico,-99.1510899,19.4343664
JREQ184983,"Tax/Legal Analyst, Indirect Tax",https://careers.thomsonreuters.com/us/en/job/JREQ184983,2025-02-19T00:00:00.000+0000,Full time,Frisco,United States of America,-96.833545,33.1073049
JREQ187698,Analyst - Global Trade Content,https://careers.thomsonreuters.com/us/en/job/JREQ187698,2025-02-19T00:00:00.000+0000,Full time,Mexico City,Mexico,-99.1510899,19.4343664
JREQ187203,"Senior Associate Editor, Litigation",https://careers.thomsonreuters.com/us/en/job/JREQ187203,2025-02-19T00:00:00.000+0000,Full time,Frisco,United States of America,-96.833545,33.1073049
JREQ187624,U.S. Automotive Editor,https://careers.thomsonreuters.com/us/en/job/JREQ187624,2025-02-18T00:00:00.000+0000,Full time,Ann Arbor,United States of America,-83.7267835,42.1957259
JREQ187702,Correspondent/ コレスポンデント（経済ニュース),https://careers.thomsonreuters.com/us/en/job/JREQ187702,2025-02-17T00:00:00.000+0000,Full time,Tokyo,Japan,139.7488929,35.6621409
JREQ187700,Senior Economic News Correspondent/ シニアコレスポンデント（経済ニュース）,https://careers.thomsonreuters.com/us/en/job/JREQ187700,2025-02-17T00:00:00.000+0000,Full time,Tokyo,Japan,139.7488929,35.6621409
JREQ187710,"Reuters News Summer Internship Programme (Gdansk, Poland)",https://careers.thomsonreuters.com/us/en/job/JREQ187710,2025-02-17T00:00:00.000+0000,Full time,Gdansk,Poland,18.5752702,54.4004235
JREQ187626,"Global Economics Editor, Reuters Breakingviews",https://careers.thomsonreuters.com/us/en/job/JREQ187626,2025-02-14T00:00:00.000+0000,Full time,New York,United States of America,-73.9866995,40.7566955
JREQ187629,Output Producer - Reuters (Moscow),https://careers.thomsonreuters.com/us/en/job/JREQ187629,2025-02-14T00:00:00.000+0000,Full time,Moscow,Russian Federation,37.6175753,55.7618924
JREQ187923,"Visual Producer, Iberia",https://careers.thomsonreuters.com/us/en/job/JREQ187923,2025-02-14T00:00:00.000+0000,Full time,Madrid,Spain,-3.6798774,40.4371514
JREQ186839,Specialist II Content Development & Design Codes,https://careers.thomsonreuters.com/us/en/job/JREQ186839,2025-02-13T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
