id,ref,title,url,open_date,type,category,department,business_unit,industry,function,city,country,x,y
17840960,JREQ166541,Junior Tax Content Analyst,https://jobs.thomsonreuters.com/job/17840960/junior-tax-content-analyst-gdansk-pl/,2023-02-22T10:03:22.787Z,Full_time,Technology Development,Product-ALL,Product - Content,Television Broadcasting,Computers General,Gdansk,PL,18.6466,54.352
17840959,JREQ166281,"Director, Legal Marketing Strategy",https://jobs.thomsonreuters.com/job/17840959/director-legal-marketing-strategy-london-gb/,2023-02-22T10:03:22.707Z,Full_time,Marketing,Legal Professionals-ALL,Marketing - Legal,Television Broadcasting,Marketing General,London,GB,-0.127758,51.5074
17837332,JREQ164205,Rédacteur juridique en fiscalité,https://jobs.thomsonreuters.com/job/17837332/r-dacteur-juridique-en-fiscalit-montreal-ca/,2023-02-21T18:03:43.933Z,Full_time,Publishing / Editorial,Product-ALL,Product - Research,Television Broadcasting,Publishing General,Montreal,CA,-73.5673,45.5017
17837004,JREQ166223,"Marketer, Field Marketing (MSP, DAL or Ann Arbor)",https://jobs.thomsonreuters.com/job/17837004/marketer-field-marketing-msp-dal-or-ann-arbor-eagan-mn/,2023-02-21T17:03:57.583Z,Full_time,Marketing,Corporates-ALL,Marketing - Corporates,Television Broadcasting,Marketing General,Eagan,US,-93.1669,44.8041
16299326,JREQ160695,Lead Platform Engineer,https://jobs.thomsonreuters.com/job/16299326/lead-platform-engineer-toronto-ca/,2023-02-21T14:03:07.36Z,Full_time,Technology Operations,Operations & Technology-ALL,Technology - CIO-ALL,Television Broadcasting,Computer Operations Manager,Toronto,CA,-79.3832,43.6532
16272953,JREQ160686,"Manager, Data Center Operations",https://jobs.thomsonreuters.com/job/16272953/manager-data-center-operations-toronto-ca/,2023-02-21T13:03:23.68Z,Full_time,Technology Development,Operations & Technology-ALL,Technology - CIO-ALL,Television Broadcasting,Computers General,Toronto,CA,-79.3832,43.6532
17573453,JREQ165142,Senior DevOps Engineer,https://jobs.thomsonreuters.com/job/17573453/senior-devops-engineer-mexico-city-mx/,2023-02-21T13:03:23.68Z,Full_time,Technology Operations,Operations & Technology-ALL,Technology - CIO-ALL,Television Broadcasting,Computer Operations Manager,Mexico City,MX,-99.1332,19.4326
17830005,JREQ166502,Technical Support Representative French/English Bilingual,https://jobs.thomsonreuters.com/job/17830005/technical-support-representative-french-english-bilingual-manila-ph/,2023-02-21T11:03:52.947Z,Full_time,Customer Service & Support,Operations & Technology-ALL,Operations & Technology Segment,Television Broadcasting,Customer Service,Manila,PH,121,14.6635
17830004,JREQ166501,Tax Support Representative French/English Bilingual,https://jobs.thomsonreuters.com/job/17830004/tax-support-representative-french-english-bilingual-manila-ph/,2023-02-21T11:03:52.943Z,Full_time,Customer Service & Support,Operations & Technology-ALL,Operations & Technology Segment,Television Broadcasting,Customer Service,Manila,PH,121,14.6635
17830000,JREQ166419,Product Support Associate,https://jobs.thomsonreuters.com/job/17830000/product-support-associate-hyderabad-in/,2023-02-21T11:03:52.903Z,Full_time,Customer Service & Support,Operations & Technology-ALL,Operations & Technology Segment,Television Broadcasting,Customer Service,Hyderabad,IN,78.4867,17.385
17829999,JREQ166402,Operations Analyst,https://jobs.thomsonreuters.com/job/17829999/operations-analyst-bengaluru-in/,2023-02-21T11:03:52.9Z,Full_time,Administration,Reuters - ALL,Reuters Editorial,Television Broadcasting,Administration,Bengaluru,IN,77.5946,12.9716
17829998,JREQ166398,News Publishing Specialist,https://jobs.thomsonreuters.com/job/17829998/news-publishing-specialist-bengaluru-in/,2023-02-21T11:03:52.893Z,Full_time,News & Editorial,Reuters - ALL,Reuters Editorial,Television Broadcasting,Editor,Bengaluru,IN,77.5946,12.9716
17829997,JREQ166384,Senior Systems Engineer,https://jobs.thomsonreuters.com/job/17829997/senior-systems-engineer-bengaluru-in/,2023-02-21T11:03:52.89Z,Full_time,Technology Development,Operations & Technology-ALL,Technology - CIO-ALL,Television Broadcasting,Computers General,Bengaluru,IN,77.5946,12.9716
17829996,JREQ166383,Media Content Operations Specialist - 1 Year Contract,https://jobs.thomsonreuters.com/job/17829996/media-content-operations-specialist-1-year-contract-seoul-kr/,2023-02-21T11:03:52.887Z,Full_time,Product / Process Training,Legal Professionals-ALL,Asia & Emerging Markets - Legal,Television Broadcasting,Training General,Seoul,KR,126.978,37.5665
17829994,JREQ166363,"Graduate News Reporter, Reuters (German Speaking)",https://jobs.thomsonreuters.com/job/17829994/graduate-news-reporter-reuters-german-speaking-gdansk-pl/,2023-02-21T11:03:52.877Z,Full_time,News & Editorial,Reuters - ALL,Reuters Editorial,Television Broadcasting,Editor,Gdansk,PL,18.6466,54.352
17829991,JREQ166337,News Publishing Specialist,https://jobs.thomsonreuters.com/job/17829991/news-publishing-specialist-bengaluru-in/,2023-02-21T11:03:52.867Z,Full_time,News & Editorial,Reuters - ALL,Reuters Editorial,Television Broadcasting,Editor,Bengaluru,IN,77.5946,12.9716
17829990,JREQ166262,Senior Site Reliability Engineer,https://jobs.thomsonreuters.com/job/17829990/senior-site-reliability-engineer-bengaluru-in/,2023-02-21T11:03:52.86Z,Full_time,Technology Development,Operations & Technology-ALL,Technology - CIO-ALL,Television Broadcasting,Computers General,Bengaluru,IN,77.5946,12.9716
17829989,JREQ166260,Senior Systems Engineer,https://jobs.thomsonreuters.com/job/17829989/senior-systems-engineer-bengaluru-in/,2023-02-21T11:03:52.857Z,Full_time,Technology Development,Operations & Technology-ALL,Technology - CIO-ALL,Television Broadcasting,Computers General,Bengaluru,IN,77.5946,12.9716
17829987,JREQ166174,Data Scientist - GTM Analytics,https://jobs.thomsonreuters.com/job/17829987/data-scientist-gtm-analytics-bengaluru-in/,2023-02-21T11:03:52.847Z,Full_time,Technology Development,Enabling Functions-ALL,Commercial Excellence-ALL,Television Broadcasting,Computers General,Bengaluru,IN,77.5946,12.9716
17829986,JREQ166150,Indirect Tax Specialist - Energy Industry (remote),https://jobs.thomsonreuters.com/job/17829986/indirect-tax-specialist-energy-industry-remote-remote/,2023-02-21T11:03:52.843Z,Full_time,Publishing / Editorial,Product-ALL,Product - Content,Television Broadcasting,Publishing General,Carrollton,US,-96.8921,32.9614
17829983,JREQ165998,Legal Editorial Associate - Indexing - LLB/LLM,https://jobs.thomsonreuters.com/job/17829983/legal-editorial-associate-indexing-llb-llm-hyderabad-in/,2023-02-21T11:03:52.83Z,Full_time,Publishing / Editorial,Product-ALL,Product - Research,Television Broadcasting,Publishing General,Hyderabad,IN,78.4867,17.385
17829982,JREQ165962,Associate Forecasting Specialist,https://jobs.thomsonreuters.com/job/17829982/associate-forecasting-specialist-hyderabad-in/,2023-02-21T11:03:52.827Z,Full_time,Production & Materials Management,Operations & Technology-ALL,Operations Content,Television Broadcasting,Production General,Hyderabad,IN,78.4867,17.385
17829980,JREQ165688,Associate Content Specialist,https://jobs.thomsonreuters.com/job/17829980/associate-content-specialist-hyderabad-in/,2023-02-21T11:03:52.817Z,Full_time,Content,Operations & Technology-ALL,Operations Content,Television Broadcasting,Publishing General,Hyderabad,IN,78.4867,17.385
17829979,JREQ165368,Senior Technical Analyst,https://jobs.thomsonreuters.com/job/17829979/senior-technical-analyst-mexico-city-mx/,2023-02-21T11:03:52.793Z,Full_time,Technology Development,Operations & Technology-ALL,Technology - CIO-ALL,Television Broadcasting,Computers General,Mexico City,MX,-99.1332,19.4326
17826544,JREQ166477,Senior Accounting Analyst,https://jobs.thomsonreuters.com/job/17826544/senior-accounting-analyst-lagunilla-cr/,2023-02-17T21:03:46.363Z,Full_time,Accounting & Finance,Enabling Functions-ALL,Enabling Functions Finance-ALL,Television Broadcasting,Accounting General,Lagunilla,CR,-84.125,9.9704
17826543,JREQ166476,Junior Accounting Analyst,https://jobs.thomsonreuters.com/job/17826543/junior-accounting-analyst-lagunilla-cr/,2023-02-17T21:03:46.357Z,Full_time,Accounting & Finance,Enabling Functions-ALL,Enabling Functions Finance-ALL,Television Broadcasting,Accounting General,Lagunilla,CR,-84.125,9.9704
