id,title,url,open_date,type,city,country,x,y
JREQ181763,Federal Tax Editor – Product/Tax Editorial,https://careers.thomsonreuters.com/us/en/job/JREQ181763,2024-10-24T00:00:00.000+0000,Full time,Eagan,United States of America,-93.10808019999999,44.8527611
JREQ183021,"Senior Lawyer Writer, Commercial, Practical Law Australia",https://careers.thomsonreuters.com/us/en/job/JREQ183021,2024-10-24T00:00:00.000+0000,Full time,Pyrmont,Australia,151.1915144,-33.8664432
JREQ184380,"Correspondent, Debt Markets",https://careers.thomsonreuters.com/us/en/job/JREQ184380,2024-10-23T00:00:00.000+0000,Full time,Mumbai,India,72.86508599999999,19.0579879
JREQ182957,Lawyer Editor,https://careers.thomsonreuters.com/us/en/job/JREQ182957,2024-10-23T00:00:00.000+0000,Full time,Pyrmont,Australia,151.1915144,-33.8664432
JREQ181084,Reuters Correspondent,https://careers.thomsonreuters.com/us/en/job/JREQ181084,2024-10-23T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ182840,News Translator with Spanish,https://careers.thomsonreuters.com/us/en/job/JREQ182840,2024-10-23T00:00:00.000+0000,Full time,Gdansk,Poland,18.5752702,54.4004235
JREQ182745,Polling Correspondent,https://careers.thomsonreuters.com/us/en/job/JREQ182745,2024-10-22T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ181390,"News Translator with Italian, Reuters",https://careers.thomsonreuters.com/us/en/job/JREQ181390,2024-10-21T00:00:00.000+0000,Full time,Gdansk,Poland,18.5752702,54.4004235
JREQ182911,U.S. Production Assistant,https://careers.thomsonreuters.com/us/en/job/JREQ182911,2024-10-21T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ183322,"Senior Specialist Legal Editor, Practical Law Property",https://careers.thomsonreuters.com/us/en/job/JREQ183322,2024-10-21T00:00:00.000+0000,Part time,London,United Kingdom,-0.0185088,51.5056439
JREQ183311,Content Analyst,https://careers.thomsonreuters.com/us/en/job/JREQ183311,2024-10-21T00:00:00.000+0000,Full time,Mexico City,Mexico,-99.1510899,19.4343664
JREQ183339,"Legal Editorial Associate - Practical Law UK, US - LLB/LLM",https://careers.thomsonreuters.com/us/en/job/JREQ183339,2024-10-21T00:00:00.000+0000,Full time,Hyderabad,India,78.3847282,17.438325
JREQ181758,Tax Analyst,https://careers.thomsonreuters.com/us/en/job/JREQ181758,2024-10-18T00:00:00.000+0000,Full time,Frisco,United States of America,-96.833545,33.1073049
JREQ183416,"Energy Correspondent, Houston (Level 1 Journalist)",https://careers.thomsonreuters.com/us/en/job/JREQ183416,2024-10-18T00:00:00.000+0000,Full time,Houston,United States of America,-95.37040089999999,29.752554
JREQ183194,Responsable de publications en fiscalité,https://careers.thomsonreuters.com/us/en/job/JREQ183194,2024-10-18T00:00:00.000+0000,Full time,Montreal,Canada,-73.57233,45.5002876
JREQ183519,"Wall Street Columnist, Reuters Breakingviews",https://careers.thomsonreuters.com/us/en/job/JREQ183519,2024-10-18T00:00:00.000+0000,Full time,New York,United States of America,-73.9866995,40.7566955
JREQ183518,"U.S. Editor, Reuters Breakingviews",https://careers.thomsonreuters.com/us/en/job/JREQ183518,2024-10-18T00:00:00.000+0000,Full time,New York,United States of America,-73.9866995,40.7566955
JREQ183452,"News Reporter, Reuters (German speaking)",https://careers.thomsonreuters.com/us/en/job/JREQ183452,2024-10-18T00:00:00.000+0000,Full time,Gdansk,Poland,18.5752702,54.4004235
JREQ183418,"Correspondent, Myanmar",https://careers.thomsonreuters.com/us/en/job/JREQ183418,2024-10-17T00:00:00.000+0000,Full time,,Thailand,100.5483427,13.7390209
JREQ184195,Technical Writer,https://careers.thomsonreuters.com/us/en/job/JREQ184195,2024-10-17T00:00:00.000+0000,Full time,Willingham,United Kingdom,0.0534968,52.311855
JREQ183376,"Business Editor, Americas, Spot Enterprise",https://careers.thomsonreuters.com/us/en/job/JREQ183376,2024-10-16T00:00:00.000+0000,Full time,New York,United States of America,-73.9866995,40.7566955
JREQ183425,Chicago Bureau Chief,https://careers.thomsonreuters.com/us/en/job/JREQ183425,2024-10-16T00:00:00.000+0000,Full time,Chicago,United States of America,-87.63723,41.87891930000001
JREQ175762,"Snr Specialist Legal Editor, Practical Law (ME) Litigation",https://careers.thomsonreuters.com/us/en/job/JREQ175762,2024-10-15T00:00:00.000+0000,Full time,,United Arab Emirates,55.1575893,25.0961362
JREQ183444,"Snr Specialist Legal Editor, Practical Law (ME) Banking & Finance",https://careers.thomsonreuters.com/us/en/job/JREQ183444,2024-10-15T00:00:00.000+0000,Full time,,United Arab Emirates,55.1575893,25.0961362
JREQ183405,Senior FX Analyst,https://careers.thomsonreuters.com/us/en/job/JREQ183405,2024-10-15T00:00:00.000+0000,Full time,Pyrmont,Australia,151.1915144,-33.8664432
JREQ183246,Analyst - Global Trade Content,https://careers.thomsonreuters.com/us/en/job/JREQ183246,2024-10-15T00:00:00.000+0000,Full time,Manila,Philippines,121.0520086,14.5344436
JREQ183265,"Social Media Lead, Communications - TR Foundation",https://careers.thomsonreuters.com/us/en/job/JREQ183265,2024-10-15T00:00:00.000+0000,Full time,London,United Kingdom,-0.0185088,51.5056439
