id,ref,title,url,open_date,type,category,department,business_unit,industry,function,city,country,x,y,description
16923283,JREQ163527,HR Operations Coordinator,Full_time,2022-10-27T17:03:51.203Z,Full_time,Human Resources,Enabling Functions-ALL,Enabling Functions People-ALL,Television Broadcasting,Human Resources General,Mexico City,MX,-99.1332,19.4326,
16944768,JREQ163312,Strategic Alliance Manager,Full_time,2022-10-26T10:03:15.223Z,Full_time,Sales,Legal Professionals-ALL,Asia & Emerging Markets - Legal,Television Broadcasting,Sales General,Tokyo,JP,139.732,35.709,
16942990,JREQ163807,Analista de Suporte - Vaga Exclusiva para Pessoa com Deficiência,Full_time,2022-10-25T21:03:42.423Z,Full_time,Customer Service & Support,Tax&Accounting Professionals-ALL,LatAm - Tax&Acctg,Television Broadcasting,Customer Service,Campinas,BR,-47.0626,-22.9099,
16922943,JREQ163543,Sales Operations Specialist,Full_time,2022-10-21T15:03:44.007Z,Full_time,Business Operations,Enabling Functions-ALL,Commercial Excellence-ALL,Television Broadcasting,Operations General,Mexico City,MX,-99.1332,19.4326,
16910777,JREQ163020,Lead Site Reliability Engineer,Full_time,2022-10-20T03:03:17.43Z,Full_time,Technology Operations,Operations & Technology-ALL,Technology - CIO-ALL,Television Broadcasting,Computer Operations Manager,Hyderabad,IN,78.4867,17.385,
16908903,JREQ163750,Analista de Suporte - TI,Full_time,2022-10-19T22:02:54.48Z,Full_time,Customer Service & Support,Tax&Accounting Professionals-ALL,LatAm - Tax&Acctg,Television Broadcasting,Customer Service,Campinas,BR,-47.0626,-22.9099,
16908633,JREQ162511,Digital Training Specialist,Full_time,2022-10-19T21:03:38.43Z,Full_time,Product / Process Training,Legal Professionals-ALL,Asia & Emerging Markets - Legal,Television Broadcasting,Training General,Pyrmont,AU,151.196,-33.8737,
16906528,JREQ163746,Analista de Suporte Folha de Pagamento,Full_time,2022-10-19T16:02:55.367Z,Full_time,Customer Service & Support,Tax&Accounting Professionals-ALL,LatAm - Tax&Acctg,Television Broadcasting,Customer Service,Campinas,BR,-47.0626,-22.9099,
16905178,JREQ163743,Analista de Suporte Fiscont,Full_time,2022-10-19T13:03:27.043Z,Full_time,Customer Service & Support,Tax&Accounting Professionals-ALL,LatAm - Tax&Acctg,Television Broadcasting,Customer Service,Campinas,BR,-47.0626,-22.9099,
16903419,JREQ163381,Systems Engineer,Full_time,2022-10-19T07:03:00.83Z,Full_time,Technology Operations,Operations & Technology-ALL,Technology - CIO-ALL,Television Broadcasting,Computer Operations Manager,Bengaluru,IN,77.5946,12.9716,
16902872,JREQ163673,Senior Software Engineer,Full_time,2022-10-19T03:03:07.11Z,Full_time,Technology Development,Reuters - ALL,Reuters Technology-ALL,Television Broadcasting,Computers General,Bengaluru,IN,77.5946,12.9716,
16893691,JREQ163725,"Product Manager, Video",Full_time,2022-10-18T15:03:31.787Z,Full_time,Product Management,Reuters - ALL,Reuters Media,Television Broadcasting,Product Manager,London,GB,-0.127758,51.5074,
16893688,JREQ163389,Tax Product Manager (UK based role),Full_time,2022-10-18T15:03:31.77Z,Full_time,Product Management,Product-ALL,Product - Accounting Tax and Practice,Television Broadcasting,Product Manager,London,GB,-0.127758,51.5074,
16893690,JREQ163556,Sr System Engineer - Linux,Full_time,2022-10-18T11:03:31.78Z,Full_time,Technology Operations,Operations & Technology-ALL,Technology - CIO-ALL,Television Broadcasting,Computer Operations Manager,Hyderabad,IN,78.4867,17.385,
16857380,JREQ163014,Data Visualization Developer,Full_time,2022-10-18T05:03:55.447Z,Full_time,News & Editorial,Reuters - ALL,Reuters Editorial,Television Broadcasting,Editor,Singapore,SG,103.85,1.28967,
16891409,JREQ163703,Partner Program Operations Manager,Full_time,2022-10-18T00:02:48.717Z,Full_time,Sales,Legal Professionals-ALL,Asia & Emerging Markets - Legal,Television Broadcasting,Sales General,Pyrmont,AU,151.196,-33.8737,
16891408,JREQ163444,China Health and Pharmaceutical Correspondent,Full_time,2022-10-18T00:02:48.71Z,Full_time,News & Editorial,Reuters - ALL,Reuters Editorial,Television Broadcasting,Editor,Beijing,CN,116.407,39.9042,
16885271,JREQ163447,"Asia Columnist, Reuters Breakingviews",Full_time,2022-10-17T10:04:15.433Z,Full_time,News & Editorial,Reuters - ALL,Reuters Editorial,Television Broadcasting,Editor,Singapore,SG,103.85,1.28967,
16885731,JREQ163463,Lead SRE,Full_time,2022-10-17T10:03:36.783Z,Full_time,Technology Development,Operations & Technology-ALL,Technology - CIO-ALL,Television Broadcasting,Computers General,Hyderabad,IN,78.4867,17.385,
16885125,JREQ163682,Content Specialist,Full_time,2022-10-17T06:04:31.5Z,Full_time,Content,Operations & Technology-ALL,Operations Content,Television Broadcasting,Publishing General,Manila,PH,121,14.6635,
16876016,JREQ163151,Sales Product Specialist - HighQ,Full_time,2022-10-14T15:04:29.073Z,Full_time,Sales,Enabling Functions-ALL,Enabling Functions Segment-ALL,Television Broadcasting,Sales General,Toronto,CA,-79.3832,43.6532,
16240667,JREQ159644,Content Marketer,Full_time,2022-10-14T08:03:28.447Z,Full_time,Publishing / Editorial,Operations & Technology-ALL,Operations & Technology Segment,Television Broadcasting,Publishing General,Manila,PH,121,14.6635,
16867678,JREQ163470,"Sport Editor, Global Pictures Desk",Full_time,2022-10-13T09:04:41.13Z,Full_time,News & Editorial,Reuters - ALL,Reuters Editorial,Television Broadcasting,Editor,Bangalore,IN,77.5946,12.9716,
16863823,JREQ163189,Data Engineer,Full_time,2022-10-12T21:04:00.773Z,Full_time,Technology Operations,Government-ALL,Government TRSS,Television Broadcasting,Computer Operations Manager,Tampa,US,-82.513,27.8438,
16863063,JREQ163504,Events Intern,Part_time,2022-10-12T19:04:41.76Z,Part_time,Graduates/Interns,Tax&Accounting Professionals-ALL,Marketing - Tax&Acctg,Television Broadcasting,Intern,Buenos Aires,AR,-58.3816,-34.6037,
16861514,JREQ163304,"Picture Editor, Wider Image - Reuters",Full_time,2022-10-12T16:04:03.533Z,Full_time,News & Editorial,Reuters - ALL,Reuters Editorial,Television Broadcasting,Editor,London,GB,-0.127758,51.5074,
16851951,JREQ163318,Senior Business Analyst,Full_time,2022-10-11T09:04:26.43Z,Full_time,Technology Development,Enabling Functions-ALL,Commercial Excellence-ALL,Television Broadcasting,Computers General,Hyderabad,IN,78.4867,17.385,
16851423,JREQ163322,Strategic Partnerships Manager - India,Full_time,2022-10-11T04:03:40.247Z,Full_time,Sales,Legal Professionals-ALL,Asia & Emerging Markets - Legal,Television Broadcasting,Sales General,Mumbai,IN,72.8777,19.076,
16848569,JREQ163491,"Sales Executive, Digital Marketing (Shreveport-Bossier)",Full_time,2022-10-10T21:04:05.807Z,Full_time,Sales,Legal Professionals-ALL,Legal Small Law-ALL,Television Broadcasting,Sales General,Baton Rouge,US,-91.1545,30.4508,
16845560,JREQ163267,Operations Analyst,Full_time,2022-10-10T08:03:24.057Z,Full_time,Administration,Reuters - ALL,Reuters Editorial,Television Broadcasting,Administration,Bangalore,IN,77.5946,12.9716,
16845343,JREQ163422,"Australia Agriculture Correspondent, Canberra",Full_time,2022-10-10T02:03:47.227Z,Full_time,News & Editorial,Reuters - ALL,Reuters Editorial,Television Broadcasting,Editor,Canberra,AU,149.129,-35.282,
16644578,JREQ162909,"Senior Finance Manager, Technology Decision Support",Full_time,2022-10-08T18:03:08.257Z,Full_time,Accounting & Finance,Operations & Technology-ALL,Finance - Operations,Television Broadcasting,Accounting General,Eagan,US,-93.1669,44.8041,
16789123,JREQ163007,#1 Operator in Bindery - 2nd shift,Full_time,2022-10-08T00:03:09.993Z,Full_time,Production & Materials Management,Global Print-ALL,Global Print Prop Strategy & Ops,Television Broadcasting,Production General,Eagan,US,-93.1669,44.8041,
