id,title,url,open_date,type,city,country,x,y
JREQ183065,China Autos Correspondent,https://careers.thomsonreuters.com/us/en/job/JREQ183065,2025-04-18T00:00:00.000+0000,Full time,Beijing,China,116.41197,39.90927
JREQ188394,Attorney Editor,https://careers.thomsonreuters.com/us/en/job/JREQ188394,2025-04-18T00:00:00.000+0000,Full time,Manila,Philippines,121.0497015,14.5348768
JREQ188166,Attorney Editor,https://careers.thomsonreuters.com/us/en/job/JREQ188166,2025-04-18T00:00:00.000+0000,Full time,Manila,Philippines,121.0497015,14.5348768
JREQ188868,"Senior Lawyer Writer, Corporate",https://careers.thomsonreuters.com/us/en/job/JREQ188868,2025-04-18T00:00:00.000+0000,Full time,Pyrmont,Australia,151.1915764,-33.8664391
JREQ189461,Attorney Editor,https://careers.thomsonreuters.com/us/en/job/JREQ189461,2025-04-18T00:00:00.000+0000,Full time,Eagan,United States of America,-93.10793129999999,44.8524402
JREQ189532,"India M&A and Deals Correspondent, Reuters",https://careers.thomsonreuters.com/us/en/job/JREQ189532,2025-04-18T00:00:00.000+0000,Full time,Mumbai,India,72.8651798,19.0581602
JREQ189217,"Correspondent, India Finance",https://careers.thomsonreuters.com/us/en/job/JREQ189217,2025-04-18T00:00:00.000+0000,Full time,Mumbai,India,72.8651798,19.0581602
JREQ184412,"Senior Lawyer Writer, Real Estate - 12 Month Contract",https://careers.thomsonreuters.com/us/en/job/JREQ184412,2025-04-18T00:00:00.000+0000,Part time,Pyrmont,Australia,151.1915764,-33.8664391
JREQ188330,Attorney Editor,https://careers.thomsonreuters.com/us/en/job/JREQ188330,2025-04-18T00:00:00.000+0000,Full time,Eagan,United States of America,-93.10793129999999,44.8524402
JREQ187622,"Reuters Bureau Chief, Houston",https://careers.thomsonreuters.com/us/en/job/JREQ187622,2025-04-18T00:00:00.000+0000,Full time,Houston,United States of America,-95.3652347,29.7542979
JREQ187910,Senior Tax Writer,https://careers.thomsonreuters.com/us/en/job/JREQ187910,2025-04-18T00:00:00.000+0000,Full time,Pyrmont,Australia,151.1915764,-33.8664391
JREQ189533,"Senior Specialist Legal Editor, Practical Law Private Client",https://careers.thomsonreuters.com/us/en/job/JREQ189533,2025-04-18T00:00:00.000+0000,Full time,London,United Kingdom,-0.0185291,51.5056412
JREQ189198,"Production Editor (Level 1 Journalist), The Insurer, Reuters",https://careers.thomsonreuters.com/us/en/job/JREQ189198,2025-04-18T00:00:00.000+0000,Full time,New York,United States of America,-73.9870076,40.756572
JREQ186839,Specialist II Content Development & Design Codes,https://careers.thomsonreuters.com/us/en/job/JREQ186839,2025-04-18T00:00:00.000+0000,Full time,Bengaluru,India,77.708722,12.9776035
JREQ186835,Specialist Content Development & Design Codes,https://careers.thomsonreuters.com/us/en/job/JREQ186835,2025-04-18T00:00:00.000+0000,Full time,Bengaluru,India,77.708722,12.9776035
JREQ185986,Multimedia News Producer,https://careers.thomsonreuters.com/us/en/job/JREQ185986,2025-04-18T00:00:00.000+0000,Full time,Bengaluru,India,77.708722,12.9776035
JREQ188283,Attorney Editor,https://careers.thomsonreuters.com/us/en/job/JREQ188283,2025-04-18T00:00:00.000+0000,Full time,Manila,Philippines,121.0497015,14.5348768
JREQ188681,Casual Legal Editor,https://careers.thomsonreuters.com/us/en/job/JREQ188681,2025-04-18T00:00:00.000+0000,Part time,Auckland,New Zealand,174.7497687,-36.848623
JREQ187652,UK Legislation Editor,https://careers.thomsonreuters.com/us/en/job/JREQ187652,2025-04-18T00:00:00.000+0000,Full time,Manila,Philippines,121.0497015,14.5348768
JREQ188189,Legal Editor,https://careers.thomsonreuters.com/us/en/job/JREQ188189,2025-04-18T00:00:00.000+0000,Full time,Hong Kong,Hong Kong,114.2169064,22.2876586
JREQ189025,Tax Associate,https://careers.thomsonreuters.com/us/en/job/JREQ189025,2025-04-18T00:00:00.000+0000,Full time,Gdansk,Poland,18.5757343,54.400578
JREQ188904,Accounting Specialist Editor(Remote),https://careers.thomsonreuters.com/us/en/job/JREQ188904,2025-04-18T00:00:00.000+0000,Full time,Eagan,United States of America,-93.10793129999999,44.8524402
JREQ189247,Manager - Global Trade Content,https://careers.thomsonreuters.com/us/en/job/JREQ189247,2025-04-18T00:00:00.000+0000,Full time,Manila,Philippines,121.0497015,14.5348768
JREQ188997,Lead Tax Analyst - Sales and Use,https://careers.thomsonreuters.com/us/en/job/JREQ188997,2025-04-18T00:00:00.000+0000,Full time,Frisco,United States of America,-96.833545,33.1073049
JREQ183332,Legal Editorial Associate - (Global) UK/US - LLB/LLM,https://careers.thomsonreuters.com/us/en/job/JREQ183332,2025-04-18T00:00:00.000+0000,Full time,Hyderabad,India,78.38589340000001,17.4367243
JREQ185988,Principal Legal Editor,https://careers.thomsonreuters.com/us/en/job/JREQ185988,2025-04-18T00:00:00.000+0000,Full time,,United Arab Emirates,55.1706183,25.1031541
JREQ185984,Multimedia News Producer,https://careers.thomsonreuters.com/us/en/job/JREQ185984,2025-04-18T00:00:00.000+0000,Full time,Bengaluru,India,77.708722,12.9776035
JREQ183018,Legal AI Prompter / Evaluator,https://careers.thomsonreuters.com/us/en/job/JREQ183018,2025-04-18T00:00:00.000+0000,Full time,Frisco,United States of America,-96.833545,33.1073049
JREQ184706,Senior Tax Analyst,https://careers.thomsonreuters.com/us/en/job/JREQ184706,2025-04-18T00:00:00.000+0000,Full time,Frisco,United States of America,-96.833545,33.1073049
JREQ187702,Correspondent/ コレスポンデント（経済ニュース),https://careers.thomsonreuters.com/us/en/job/JREQ187702,2025-04-18T00:00:00.000+0000,Full time,Tokyo,Japan,139.7488929,35.6621409
JREQ188759,Lawyer Editor,https://careers.thomsonreuters.com/us/en/job/JREQ188759,2025-04-18T00:00:00.000+0000,Full time,Pyrmont,Australia,151.1915764,-33.8664391
JREQ189543,Jr. Specialist Editor - Employment Law Litigation,https://careers.thomsonreuters.com/us/en/job/JREQ189543,2025-04-18T00:00:00.000+0000,Full time,Eagan,United States of America,-93.10793129999999,44.8524402
JREQ181084,Reuters Correspondent,https://careers.thomsonreuters.com/us/en/job/JREQ181084,2025-04-18T00:00:00.000+0000,Full time,Bengaluru,India,77.708722,12.9776035
JREQ183331,Legal Writer,https://careers.thomsonreuters.com/us/en/job/JREQ183331,2025-04-18T00:00:00.000+0000,Full time,Manila,Philippines,121.0497015,14.5348768
JREQ187700,Senior Economics News Correspondent,https://careers.thomsonreuters.com/us/en/job/JREQ187700,2025-04-18T00:00:00.000+0000,Full time,Tokyo,Japan,139.7488929,35.6621409
JREQ187921,Legal Editorial Associate - Indexing - LLB/LLM,https://careers.thomsonreuters.com/us/en/job/JREQ187921,2025-04-18T00:00:00.000+0000,Full time,Hyderabad,India,78.38589340000001,17.4367243
JREQ189534,"News Translator with Italian, Reuters",https://careers.thomsonreuters.com/us/en/job/JREQ189534,2025-04-18T00:00:00.000+0000,Full time,Gdansk,Poland,18.5757343,54.400578
JREQ189491,"Senior Specialist Legal Editor, Practical Law R&I",https://careers.thomsonreuters.com/us/en/job/JREQ189491,2025-04-18T00:00:00.000+0000,Full time,London,United Kingdom,-0.0185291,51.5056412
JREQ188976,"Breaking News Correspondent, Finance and Markets",https://careers.thomsonreuters.com/us/en/job/JREQ188976,2025-04-18T00:00:00.000+0000,Full time,Bengaluru,India,77.708722,12.9776035
JREQ189923,"Senior Specialist Legal Editor, Practical Law Finance & DCM",https://careers.thomsonreuters.com/us/en/job/JREQ189923,2025-04-18T00:00:00.000+0000,Part time,London,United Kingdom,-0.0185291,51.5056412
JREQ187401,Attorney Editor - Jury Verdict,https://careers.thomsonreuters.com/us/en/job/JREQ187401,2025-04-18T00:00:00.000+0000,Full time,Manila,Philippines,121.0497015,14.5348768
JREQ187032,Practical Law Content Design & Development Senior Specialist,https://careers.thomsonreuters.com/us/en/job/JREQ187032,2025-04-18T00:00:00.000+0000,Full time,Bengaluru,India,77.708722,12.9776035
