id,title,url,open_date,type,city,country,x,y
JREQ177919,"Egypt Correspondent, Reuters",https://careers.thomsonreuters.com/us/en/job/JREQ177919,2024-04-15T00:00:00.000+0000,Full time,,Egypt,31.2357116,30.0444196
JREQ177140,"Legal Editor, Practical Law (EU)",https://careers.thomsonreuters.com/us/en/job/JREQ177140,2024-04-15T00:00:00.000+0000,Full time,London,United Kingdom,-0.0185088,51.5056439
JREQ177577,Attorney Editor,https://careers.thomsonreuters.com/us/en/job/JREQ177577,2024-04-15T00:00:00.000+0000,Full time,Eagan,United States of America,-93.10808019999999,44.8527611
JREQ167719,"Senior Specialist Legal Editor, Practical Law Public Sector",https://careers.thomsonreuters.com/us/en/job/JREQ167719,2024-04-12T00:00:00.000+0000,Full time,Berlin,Germany,13.3754362,52.5111897
JREQ177563,"Asia Graphics Editor, Reuters",https://careers.thomsonreuters.com/us/en/job/JREQ177563,2024-04-11T00:00:00.000+0000,Full time,Singapore,Singapore,103.792796,1.2938815
JREQ177568,"Visual Journalist, China - Reuters",https://careers.thomsonreuters.com/us/en/job/JREQ177568,2024-04-11T00:00:00.000+0000,Full time,Shanghai,China,121.504161,31.24097799999999
JREQ177500,"Senior Specialist Legal Editor, Practical Law – Planning",https://careers.thomsonreuters.com/us/en/job/JREQ177500,2024-04-11T00:00:00.000+0000,Full time,London,United Kingdom,-0.0185088,51.5056439
JREQ174687,Sr. Database Engineer,https://careers.thomsonreuters.com/us/en/job/JREQ174687,2024-04-10T00:00:00.000+0000,Full time,São Paulo,Brazil,-46.6835209,-23.5990338
JREQ177251,"Editor, Global News Desk",https://careers.thomsonreuters.com/us/en/job/JREQ177251,2024-04-09T00:00:00.000+0000,Full time,Wellington,New Zealand,174.7743618,-41.2859199
JREQ177853,EMEA Editor - Thomson Reuters Foundation,https://careers.thomsonreuters.com/us/en/job/JREQ177853,2024-04-08T00:00:00.000+0000,Full time,London,United Kingdom,-0.0185088,51.5056439
JREQ175343,Senior Attorney Editor,https://careers.thomsonreuters.com/us/en/job/JREQ175343,2024-04-08T00:00:00.000+0000,Full time,North Hollywood,United States of America,-118.3747284,34.1642783
JREQ177765,"Team Lead, Editorial - Specialty Content",https://careers.thomsonreuters.com/us/en/job/JREQ177765,2024-04-06T00:00:00.000+0000,Full time,Manila,Philippines,121.0520086,14.5344436
JREQ177773,Legal Writer,https://careers.thomsonreuters.com/us/en/job/JREQ177773,2024-04-06T00:00:00.000+0000,Full time,Manila,Philippines,121.0520086,14.5344436
JREQ177538,Accounting & Auditing CPA Editor,https://careers.thomsonreuters.com/us/en/job/JREQ177538,2024-04-05T00:00:00.000+0000,Full time,Carrollton,United States of America,-96.8449828,32.97533
JREQ177895,Editorials,https://careers.thomsonreuters.com/us/en/job/JREQ177895,2024-04-05T00:00:00.000+0000,Full time,Hyderabad,India,78.3847282,17.438325
JREQ177948,Manager - Editorials,https://careers.thomsonreuters.com/us/en/job/JREQ177948,2024-04-05T00:00:00.000+0000,Full time,Hyderabad,India,78.3847282,17.438325
