id,title,url,open_date,type,city,country,x,y
JREQ190996,"Ukraine Bureau Chief, Kyiv - Reuters",https://careers.thomsonreuters.com/us/en/job/JREQ190996,2025-05-07T00:00:00.000+0000,Full time,Kyiv,Ukraine,30.5245025,50.4503596
JREQ190696,Tax Analyst,https://careers.thomsonreuters.com/us/en/job/JREQ190696,2025-05-07T00:00:00.000+0000,Full time,Frisco,United States of America,-96.833545,33.1073049
JREQ190708,"Senior Specialist Legal Editor, Practical Law Employment",https://careers.thomsonreuters.com/us/en/job/JREQ190708,2025-05-07T00:00:00.000+0000,Full time,London,United Kingdom,-0.0185088,51.5056439
JREQ189806,Attorney Editor,https://careers.thomsonreuters.com/us/en/job/JREQ189806,2025-05-07T00:00:00.000+0000,Full time,Manila,Philippines,121.0497015,14.5348768
JREQ190493,Output Editor,https://careers.thomsonreuters.com/us/en/job/JREQ190493,2025-05-07T00:00:00.000+0000,Full time,Singapore,Singapore,103.792796,1.2938815
JREQ190451,"Energy Correspondent, Australia",https://careers.thomsonreuters.com/us/en/job/JREQ190451,2025-05-07T00:00:00.000+0000,Full time,Perth,Australia,115.8426337,-31.9522114
JREQ190970,Metals Correspondent,https://careers.thomsonreuters.com/us/en/job/JREQ190970,2025-05-07T00:00:00.000+0000,Full time,London,United Kingdom,-0.0185088,51.5056439
JREQ190669,"Correspondent, India",https://careers.thomsonreuters.com/us/en/job/JREQ190669,2025-05-06T00:00:00.000+0000,Full time,Bengaluru,India,77.708722,12.9776035
JREQ190968,"News Reporter with French, Reuters",https://careers.thomsonreuters.com/us/en/job/JREQ190968,2025-05-06T00:00:00.000+0000,Full time,Gdansk,Poland,18.5757343,54.400578
JREQ190949,Attorney Editor for Westlaw Today,https://careers.thomsonreuters.com/us/en/job/JREQ190949,2025-05-06T00:00:00.000+0000,Full time,Eagan,United States of America,-93.10793129999999,44.8524402
JREQ190908,"Visuals Producer, Reuters Digital",https://careers.thomsonreuters.com/us/en/job/JREQ190908,2025-05-05T00:00:00.000+0000,Full time,London,United Kingdom,-0.0185088,51.5056439
JREQ190830,Breaking News Correspondent,https://careers.thomsonreuters.com/us/en/job/JREQ190830,2025-05-05T00:00:00.000+0000,Full time,Mexico City,Mexico,0.0,0.0
JREQ191028,"Breaking News Correspondent, Germany, Austria & Switzerland",https://careers.thomsonreuters.com/us/en/job/JREQ191028,2025-05-05T00:00:00.000+0000,Full time,Toronto,Canada,-79.3884094,43.6480117
JREQ185621,Desk Editor,https://careers.thomsonreuters.com/us/en/job/JREQ185621,2025-05-05T00:00:00.000+0000,Full time,Bengaluru,India,77.708722,12.9776035
JREQ184412,"Senior Lawyer Writer, Real Estate - 12 Month Contract",https://careers.thomsonreuters.com/us/en/job/JREQ184412,2025-05-05T00:00:00.000+0000,Part time,Pyrmont,Australia,151.1915764,-33.8664391
JREQ190450,"Editor, Global News Desk",https://careers.thomsonreuters.com/us/en/job/JREQ190450,2025-05-02T00:00:00.000+0000,Full time,Singapore,Singapore,103.7709375,1.3000625
JREQ191027,Technology Investigations Reporter  (Level 1 Journalist),https://careers.thomsonreuters.com/us/en/job/JREQ191027,2025-05-02T00:00:00.000+0000,Full time,San Francisco,United States of America,-122.3973037,37.7940487
JREQ190992,U.S. Legal Reporter (Level 1 Journalist),https://careers.thomsonreuters.com/us/en/job/JREQ190992,2025-05-02T00:00:00.000+0000,Full time,Washington,United States of America,-77.0311952,38.9004793
JREQ190820,"Washington/U.S. Weekend Editor, Reuters",https://careers.thomsonreuters.com/us/en/job/JREQ190820,2025-05-01T00:00:00.000+0000,Full time,Washington,United States of America,-77.0311952,38.9004793
JREQ190942,Senior Fact-Checking Producer - Reuters,https://careers.thomsonreuters.com/us/en/job/JREQ190942,2025-05-01T00:00:00.000+0000,Full time,Barcelona,Spain,2.1486417,41.39567599999999
JREQ190769,"News Reporter with Norwegian, Swedish, Danish or Finnish",https://careers.thomsonreuters.com/us/en/job/JREQ190769,2025-04-30T00:00:00.000+0000,Full time,Gdansk,Poland,18.5757343,54.400578
JREQ190888,"Researcher, Beijing Bureau",https://careers.thomsonreuters.com/us/en/job/JREQ190888,2025-04-30T00:00:00.000+0000,Full time,Beijing,China,116.41197,39.90927
JREQ190501,"Editor, Global News Desk",https://careers.thomsonreuters.com/us/en/job/JREQ190501,2025-04-30T00:00:00.000+0000,Full time,Wellington,New Zealand,174.7743618,-41.2859199
JREQ189648,Senior Editorial Manager,https://careers.thomsonreuters.com/us/en/job/JREQ189648,2025-04-30T00:00:00.000+0000,Full time,Aichi,Japan,136.8966607,35.1636282
JREQ190782,Lead Tax Analyst - Sales and Use,https://careers.thomsonreuters.com/us/en/job/JREQ190782,2025-04-30T00:00:00.000+0000,Full time,Frisco,United States of America,-96.833545,33.1073049
JREQ189807,Publisher,https://careers.thomsonreuters.com/us/en/job/JREQ189807,2025-04-30T00:00:00.000+0000,Full time,Hyderabad,India,78.38589340000001,17.4367243
JREQ190538,"General Manager, North Asia",https://careers.thomsonreuters.com/us/en/job/JREQ190538,2025-04-29T00:00:00.000+0000,Full time,Beijing,China,116.41197,39.90927
JREQ190852,US Tax Accountant,https://careers.thomsonreuters.com/us/en/job/JREQ190852,2025-04-29T00:00:00.000+0000,Full time,Mexico City,Mexico,-99.15156759999999,19.4342738
JREQ190761,Legal Editorial Associate - Indexing - LLB/LLM,https://careers.thomsonreuters.com/us/en/job/JREQ190761,2025-04-28T00:00:00.000+0000,Full time,Hyderabad,India,78.38589340000001,17.4367243
JREQ190822,Asia Capital Markets and Regulations Correspondent,https://careers.thomsonreuters.com/us/en/job/JREQ190822,2025-04-28T00:00:00.000+0000,Full time,Hong Kong,Hong Kong,114.2169064,22.2876586
JREQ190719,"Bureau Chief, Israel and Palestinian Territories - Reuters",https://careers.thomsonreuters.com/us/en/job/JREQ190719,2025-04-28T00:00:00.000+0000,Full time,Jerusalem,Israel,35.185601,31.74867729999999
JREQ190536,"General Manager, Reuters Global Centres (Barcelona)",https://careers.thomsonreuters.com/us/en/job/JREQ190536,2025-04-28T00:00:00.000+0000,Full time,Barcelona,Spain,2.1486417,41.39567599999999
JREQ190722,"Tax/Legal Analyst, Indirect Tax",https://careers.thomsonreuters.com/us/en/job/JREQ190722,2025-04-28T00:00:00.000+0000,Full time,Frisco,United States of America,-96.833545,33.1073049
JREQ188904,Accounting Specialist Editor(Remote),https://careers.thomsonreuters.com/us/en/job/JREQ188904,2025-04-28T00:00:00.000+0000,Full time,Eagan,United States of America,-93.10793129999999,44.8524402
JREQ190728,China Agriculture Correspondent,https://careers.thomsonreuters.com/us/en/job/JREQ190728,2025-04-25T00:00:00.000+0000,Full time,Beijing,China,116.41197,39.90927
JREQ190770,U.S. Race and Justice Correspondent (Level 1 Journalist),https://careers.thomsonreuters.com/us/en/job/JREQ190770,2025-04-25T00:00:00.000+0000,Full time,Washington,United States of America,-77.0311952,38.9004793
JREQ190777,Attorney Editor,https://careers.thomsonreuters.com/us/en/job/JREQ190777,2025-04-25T00:00:00.000+0000,Full time,Eagan,United States of America,-93.10793129999999,44.8524402
JREQ190734,Sênior Tax Analyst,https://careers.thomsonreuters.com/us/en/job/JREQ190734,2025-04-25T00:00:00.000+0000,Full time,São Paulo,Brazil,-46.7010855,-23.5699123
JREQ190773,U.S. Political Correspondent (Level 1 Journalist),https://careers.thomsonreuters.com/us/en/job/JREQ190773,2025-04-25T00:00:00.000+0000,Full time,Washington,United States of America,-77.0311952,38.9004793
JREQ184991,Technical Writer - Reuters Imagen,https://careers.thomsonreuters.com/us/en/job/JREQ184991,2025-04-24T00:00:00.000+0000,Full time,Willingham,United Kingdom,-0.037714,52.0834748
JREQ190634,Elections Data Researcher,https://careers.thomsonreuters.com/us/en/job/JREQ190634,2025-04-23T00:00:00.000+0000,Full time,Bengaluru,India,77.708722,12.9776035
JREQ189620,Tax Associate (US Region),https://careers.thomsonreuters.com/us/en/job/JREQ189620,2025-04-23T00:00:00.000+0000,Full time,Gdansk,Poland,18.5757343,54.400578
JREQ187052,Video Producer,https://careers.thomsonreuters.com/us/en/job/JREQ187052,2025-04-23T00:00:00.000+0000,Full time,Sarrià-Sant Gervasi,Spain,2.1643876,41.3953587
